[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	1463745	1099685	2563357	1463745	1463673	99.99	2569357	2563357	56.97	57.10	ENA|OBMB01000001|OBMB01000001.1	tig00004064
123570	126493	1857672	1854752	2924	2921	83.34	2569357	2563357	0.11	0.11	ENA|OBMB01000001|OBMB01000001.1	tig00004064
129523	130342	1844857	1844038	820	820	81.39	2569357	2563357	0.03	0.03	ENA|OBMB01000001|OBMB01000001.1	tig00004064
166097	167775	1849504	1847825	1679	1680	85.19	2569357	2563357	0.07	0.07	ENA|OBMB01000001|OBMB01000001.1	tig00004064
180709	180969	1282822	1282561	261	262	98.47	2569357	2563357	0.01	0.01	ENA|OBMB01000001|OBMB01000001.1	tig00004064
182886	183147	1280644	1280384	262	261	98.47	2569357	2563357	0.01	0.01	ENA|OBMB01000001|OBMB01000001.1	tig00004064
314079	315409	1882413	1881083	1331	1331	91.36	2569357	2563357	0.05	0.05	ENA|OBMB01000001|OBMB01000001.1	tig00004064
347817	348102	2530469	2530185	286	285	89.58	2569357	2563357	0.01	0.01	ENA|OBMB01000001|OBMB01000001.1	tig00004064
348106	348204	2530093	2529994	99	100	94.00	2569357	2563357	0.00	0.00	ENA|OBMB01000001|OBMB01000001.1	tig00004064
348205	349043	2529784	2528878	839	907	87.54	2569357	2563357	0.03	0.04	ENA|OBMB01000001|OBMB01000001.1	tig00004064
366308	371785	1541390	1535912	5478	5479	99.96	2569357	2563357	0.21	0.21	ENA|OBMB01000001|OBMB01000001.1	tig00004064
436250	441728	1471449	1465973	5479	5477	99.95	2569357	2563357	0.21	0.21	ENA|OBMB01000001|OBMB01000001.1	tig00004064
723371	723472	1825136	1825035	102	102	99.02	2569357	2563357	0.00	0.00	ENA|OBMB01000001|OBMB01000001.1	tig00004064
723472	723578	2528877	2528771	107	107	98.13	2569357	2563357	0.00	0.00	ENA|OBMB01000001|OBMB01000001.1	tig00004064
725386	725487	1823121	1823020	102	102	99.02	2569357	2563357	0.00	0.00	ENA|OBMB01000001|OBMB01000001.1	tig00004064
744389	745208	1230023	1229204	820	820	81.39	2569357	2563357	0.03	0.03	ENA|OBMB01000001|OBMB01000001.1	tig00004064
748176	749855	1267453	1265775	1680	1679	85.19	2569357	2563357	0.07	0.07	ENA|OBMB01000001|OBMB01000001.1	tig00004064
755128	758027	1226151	1223251	2900	2901	83.45	2569357	2563357	0.11	0.11	ENA|OBMB01000001|OBMB01000001.1	tig00004064
781440	782770	1415075	1413745	1331	1331	91.36	2569357	2563357	0.05	0.05	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1135444	1136835	410265	408874	1392	1392	99.93	2569357	2563357	0.05	0.05	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1135447	1135706	1816027	1815768	260	260	98.08	2569357	2563357	0.01	0.01	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1135448	1136835	924088	922701	1388	1388	100.00	2569357	2563357	0.05	0.05	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1429156	1429262	1823227	1823121	107	107	98.13	2569357	2563357	0.00	0.00	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1429263	1430169	1448708	1447870	907	839	87.54	2569357	2563357	0.04	0.03	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1430379	1430489	1447869	1447759	111	111	92.79	2569357	2563357	0.00	0.00	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1430578	1430854	1447759	1447482	277	278	89.29	2569357	2563357	0.01	0.01	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1447176	1468272	1	21143	21097	21143	99.13	2569357	21143	0.82	100.00	ENA|OBMB01000001|OBMB01000001.1	tig00004063
1447260	2569357	1	1122040	1122098	1122040	99.99	2569357	2563357	43.67	43.77	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1756917	1758040	449973	448866	1124	1108	83.32	2569357	2563357	0.04	0.04	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1808842	1809762	1082700	1081780	921	921	85.75	2569357	2563357	0.04	0.04	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1896165	1897273	310754	309631	1109	1124	83.32	2569357	2563357	0.04	0.04	ENA|OBMB01000001|OBMB01000001.1	tig00004064
2505891	2506843	1070809	1069857	953	953	83.70	2569357	2563357	0.04	0.04	ENA|OBMB01000001|OBMB01000001.1	tig00004064
2517182	2518134	1059518	1058566	953	953	83.70	2569357	2563357	0.04	0.04	ENA|OBMB01000001|OBMB01000001.1	tig00004064
2529105	2530025	362470	361550	921	921	85.75	2569357	2563357	0.04	0.04	ENA|OBMB01000001|OBMB01000001.1	tig00004064
1	18977	1137807	1118817	18977	18991	99.89	41174	2563357	46.09	0.74	ENA|OBMB01000002|OBMB01000002.1	tig00004064
16459	17064	1222058	1221453	606	606	89.93	41174	2563357	1.47	0.02	ENA|OBMB01000002|OBMB01000002.1	tig00004064
18575	41174	1117606	1095011	22600	22596	99.80	41174	2563357	54.89	0.88	ENA|OBMB01000002|OBMB01000002.1	tig00004064
