"","id","name_prokka","name_eggnog","product_prokka","function_eggnog","kegg_ko"
"1","ACIGNDMM_00001","hpnR_1","bchE","Hopanoid C-3 methylase","radical SAM domain protein","ko:K04034"
"2","ACIGNDMM_00002",NA,NA,"hypothetical protein",NA,NA
"3","ACIGNDMM_00003","bepA_1","bcr4","Beta-barrel assembly-enhancing protease","chaperone-mediated protein folding","ko:K20543"
"4","ACIGNDMM_00004",NA,NA,"hypothetical protein",NA,NA
"5","ACIGNDMM_00005",NA,"","hypothetical protein","",""
"6","ACIGNDMM_00006",NA,NA,"hypothetical protein",NA,NA
"7","ACIGNDMM_00007","fosA_1","","Glutathione transferase FosA","lactoylglutathione lyase activity","ko:K11210"
"8","ACIGNDMM_00008",NA,"","hypothetical protein","Evidence 2a Function of homologous gene experimentally demonstrated in an other organism","ko:K02040"
"9","ACIGNDMM_00009",NA,"","hypothetical protein","",""
"10","ACIGNDMM_00010",NA,NA,"hypothetical protein",NA,NA
"11","ACIGNDMM_00011","nadA_1","nadA","Quinolinate synthase A","Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate","ko:K03517"
"12","ACIGNDMM_00012","asd_1","asd","Aspartate-semialdehyde dehydrogenase","Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate","ko:K00133"
"13","ACIGNDMM_00013","leuB_1","leuB","3-isopropylmalate dehydrogenase","Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate","ko:K00052"
"14","ACIGNDMM_00014","leuA_1","leuA","2-isopropylmalate synthase","Belongs to the alpha-IPM synthase homocitrate synthase family","ko:K01649"
"15","ACIGNDMM_00015",NA,"pssA","hypothetical protein","CDP-alcohol phosphatidyltransferase","ko:K17103"
"16","ACIGNDMM_00016","psd_1","psd","Phosphatidylserine decarboxylase proenzyme","Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer)","ko:K01613"
